"FID_","ID_seq_num","prov_sale","prov_kill","lat","long_","race_tail","race_tree","bcr"
,"172120243 2005"," ","BC",54.050000,-124.066666,"Branta hutchinsii","Branta canadensis","WRockies"
,"172120245 2005"," ","BC",54.050000,-124.066666,"unknown","Branta canadensis","WRockies"
,"172120246 2004"," ","SK",51.800000,-105.100000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120247 2005"," ","BC",54.050000,-124.066666,"Branta hutchinsii","Branta canadensis","WRockies"
,"172120248 2004"," ","SK",51.800000,-105.100000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120249 2005"," ","BC",54.050000,-124.066666,"Branta hutchinsii","Branta canadensis","WRockies"
,"172120250 2004"," ","SK",51.800000,-105.100000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120251 2005"," ","BC",54.050000,-124.066666,"Branta hutchinsii","Branta canadensis","WRockies"
,"172120252 2004"," ","SK",51.800000,-105.100000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120253 2005"," ","BC",54.050000,-124.066666,"Branta hutchinsii","Branta hutchinsii","WRockies"
,"172120254 2004"," ","SK",51.800000,-105.100000,"Branta canadensis","Branta hutchinsii","ERockies"
,"172120257 2004"," ","SK",51.866666,-105.200000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120290 2004"," ","SK",50.916666,-102.500000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120322 2006"," ","BC",50.650000,-119.366666,"unknown","Branta canadensis","WRockies"
,"172120369 2004"," ","AB",52.350000,-110.300000,"Branta hutchinsii","Branta hutchinsii","ERockies"
,"172120373 2004"," ","AB",50.766666,-113.466666,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120376 2004"," ","AB",50.816666,-112.516666,"Branta hutchinsii","Branta canadensis","ERockies"
,"172120392 2004"," ","AB",57.066666,-117.550000,"unknown","Branta canadensis","ERockies"
,"172120395 2004"," ","BC",49.183333,-121.816666,"Branta canadensis","Branta canadensis","WRockies"
